[01, 02, 03, 04, 05, 06, 07, 08, 09],
[01, 10, 11, 12, 13, 14, 15, 16, 17],
[01, 18, 19, 20, 21, 22, 23, 24, 25],
[01, 26, 27, 28, 29, 30, 31, 32, 33],
[01, 34, 35, 36, 37, 38, 39, 40, 41],
[01, 42, 43, 44, 45, 46, 47, 48, 49],
[01, 50, 51, 52, 53, 54, 55, 56, 57],
[01, 58, 59, 60, 61, 62, 63, 64, 65],
[01, 66, 67, 68, 69, 70, 71, 72, 73],
[02, 10, 18, 26, 34, 42, 50, 58, 66],
[02, 11, 19, 27, 35, 43, 51, 59, 67],
[02, 12, 20, 28, 36, 44, 52, 60, 68],
[02, 13, 21, 29, 37, 45, 53, 61, 69],
[02, 14, 22, 30, 38, 46, 54, 62, 70],
[02, 15, 23, 31, 39, 47, 55, 63, 71],
[02, 16, 24, 32, 40, 48, 56, 64, 72],
[02, 17, 25, 33, 41, 49, 57, 65, 73],
[03, 10, 19, 28, 37, 46, 55, 64, 73],
[03, 11, 20, 29, 38, 47, 56, 65, 66],
[03, 12, 21, 30, 39, 48, 57, 58, 67],
[03, 13, 22, 31, 40, 49, 50, 59, 68],
[03, 14, 23, 32, 41, 42, 51, 60, 69],
[03, 15, 24, 33, 34, 43, 52, 61, 70],
[03, 16, 25, 26, 35, 44, 53, 62, 71],
[03, 17, 18, 27, 36, 45, 54, 63, 72],
[04, 10, 20, 30, 40, 42, 52, 62, 72],
[04, 11, 21, 31, 41, 43, 53, 63, 73],
[04, 12, 22, 32, 34, 44, 54, 64, 66],
[04, 13, 23, 33, 35, 45, 55, 65, 67],
[04, 14, 24, 26, 36, 46, 56, 58, 68],
[04, 15, 25, 27, 37, 47, 57, 59, 69],
[04, 16, 18, 28, 38, 48, 50, 60, 70],
[04, 17, 19, 29, 39, 49, 51, 61, 71],
[05, 10, 21, 32, 35, 46, 57, 60, 71],
[05, 11, 22, 33, 36, 47, 50, 61, 72],
[05, 12, 23, 26, 37, 48, 51, 62, 73],
[05, 13, 24, 27, 38, 49, 52, 63, 66],
[05, 14, 25, 28, 39, 42, 53, 64, 67],
[05, 15, 18, 29, 40, 43, 54, 65, 68],
[05, 16, 19, 30, 41, 44, 55, 58, 69],
[05, 17, 20, 31, 34, 45, 56, 59, 70],
[06, 10, 22, 26, 38, 42, 54, 58, 70],
[06, 11, 23, 27, 39, 43, 55, 59, 71],
[06, 12, 24, 28, 40, 44, 56, 60, 72],
[06, 13, 25, 29, 41, 45, 57, 61, 73],
[06, 14, 18, 30, 34, 46, 50, 62, 66],
[06, 15, 19, 31, 35, 47, 51, 63, 67],
[06, 16, 20, 32, 36, 48, 52, 64, 68],
[06, 17, 21, 33, 37, 49, 53, 65, 69],
[07, 10, 23, 28, 41, 46, 51, 64, 69],
[07, 11, 24, 29, 34, 47, 52, 65, 70],
[07, 12, 25, 30, 35, 48, 53, 58, 71],
[07, 13, 18, 31, 36, 49, 54, 59, 72],
[07, 14, 19, 32, 37, 42, 55, 60, 73],
[07, 15, 20, 33, 38, 43, 56, 61, 66],
[07, 16, 21, 26, 39, 44, 57, 62, 67],
[07, 17, 22, 27, 40, 45, 50, 63, 68],
[08, 10, 24, 30, 36, 42, 56, 62, 68],
[08, 11, 25, 31, 37, 43, 57, 63, 69],
[08, 12, 18, 32, 38, 44, 50, 64, 70],
[08, 13, 19, 33, 39, 45, 51, 65, 71],
[08, 14, 20, 26, 40, 46, 52, 58, 72],
[08, 15, 21, 27, 41, 47, 53, 59, 73],
[08, 16, 22, 28, 34, 48, 54, 60, 66],
[08, 17, 23, 29, 35, 49, 55, 61, 67],
[09, 10, 25, 32, 39, 46, 53, 60, 67],
[09, 11, 18, 33, 40, 47, 54, 61, 68],
[09, 12, 19, 26, 41, 48, 55, 62, 69],
[09, 13, 20, 27, 34, 49, 56, 63, 70],
[09, 14, 21, 28, 35, 42, 57, 64, 71],
[09, 15, 22, 29, 36, 43, 50, 65, 72],
[09, 16, 23, 30, 37, 44, 51, 58, 73],
[09, 17, 24, 31, 38, 45, 52, 59, 66],
